LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
C. Kispert - B. Coulibaly - A. Sarr - C. Carrington - K. George,WAS,16,56,109.6,128.2,-18.6,71.4,2.06,20.8,17.3,61.9,41.7,0.1,60.0,63.0,110.57,39.6
J. Poeltl - R. Barrett - O. Agbaji - S. Barnes - G. Dick,TOR,6,56,100.0,119.5,-19.5,69.4,1.42,20.4,23.1,81.4,54.1,0.2,56.6,58.0,105.31,41.3
R. Westbrook - N. Jokić - M. Porter Jr. - J. Strawther - C. Braun,DEN,15,56,137.6,92.7,44.9,77.8,5.44,24.9,41.1,71.0,56.8,0.1,60.2,63.4,107.21,71.3
J. Poeltl - R. Barrett - O. Agbaji - D. Mitchell - S. Barnes,TOR,10,55,110.0,84.2,25.8,72.0,2.12,21.4,25.0,79.7,56.3,0.1,58.9,61.8,102.36,69.3
M. Conley - J. Randle - N. Reid - A. Edwards - J. McDaniels,MIN,21,55,105.7,105.7,0.0,68.9,1.94,18.9,18.2,73.6,45.4,0.1,54.1,59.2,107.18,52.2
M. Conley - R. Gobert - N. Reid - A. Edwards - J. McDaniels,MIN,20,55,113.2,87.4,25.8,76.7,2.20,20.4,27.8,75.5,51.4,0.1,55.4,60.5,98.38,66.8
N. Vučević - Z. LaVine - A. Dosunmu - J. Giddey - J. Phillips,CHI,16,55,118.9,109.8,9.1,66.0,1.46,21.1,23.1,73.8,54.8,0.2,71.3,72.2,106.67,55.3
B. Beal - M. Plumlee - T. Jones - D. Booker - R. O'Neale,PHX,5,54,110.7,136.4,-25.7,71.4,2.14,19.7,19.2,68.0,43.1,0.1,56.5,60.2,98.06,42.4
K. Irving - K. Thompson - L. Dončić - D. Gafford - N. Marshall,DAL,6,54,116.9,113.6,3.4,57.7,2.14,19.2,16.7,74.2,49.1,0.1,62.5,65.0,104.74,50.3
N. Batum - K. Dunn - I. Zubac - A. Coffey - K. Porter Jr.,LAC,10,54,106.3,95.6,10.7,64.7,1.57,20.4,34.0,81.5,57.9,0.2,56.9,57.2,100.36,56.5
P. George - J. Embiid - K. Oubre Jr. - C. Martin - T. Maxey,PHI,4,54,101.7,107.7,-6.0,65.8,1.56,16.3,20.4,61.8,41.3,0.1,47.8,56.1,104.23,53.5
B. Adebayo - D. Robinson - H. Highsmith - T. Herro - J. Jaquez Jr.,MIA,7,53,98.0,118.0,-20.0,68.6,1.41,16.9,29.6,72.2,50.9,0.2,47.8,52.3,91.53,41.7
J. Valančiūnas - C. Kispert - B. Coulibaly - C. Carrington - K. George,WAS,19,53,109.7,128.6,-18.8,65.9,1.32,19.0,25.6,61.7,44.4,0.2,60.7,64.7,101.76,42.7
A. Horford - J. Holiday - K. Porziņģis - J. Brown - D. White,BOS,8,52,96.4,109.3,-12.8,59.5,1.79,17.1,16.4,80.0,46.7,0.1,51.1,53.8,102.25,43.6
J. Poeltl - O. Agbaji - D. Mitchell - S. Barnes - G. Dick,TOR,7,52,105.7,109.0,-3.3,61.9,1.24,17.2,35.2,69.6,52.7,0.2,52.1,55.2,99.62,46.0
L. Markkanen - J. Collins - C. Sexton - K. George - K. Filipowski,UTA,5,52,117.3,127.3,-10.0,65.2,1.88,19.9,23.9,76.9,48.2,0.1,60.4,63.5,101.77,44.8
T. Harris - T. Hardaway Jr. - M. Beasley - J. Ivey - J. Duren,DET,7,52,103.8,124.5,-20.7,64.1,1.25,17.1,30.0,62.7,46.5,0.2,51.7,55.9,96.06,43.8
T. Lyles - D. Sabonis - M. Monk - K. Huerter - K. Ellis,SAC,12,52,116.7,120.5,-3.9,82.2,2.64,22.4,33.9,70.2,50.0,0.1,52.9,56.3,101.93,46.9
N. Vučević - Z. LaVine - P. Williams - A. Dosunmu - J. Giddey,CHI,16,51,102.5,110.1,-7.6,64.4,1.71,18.4,18.2,67.3,42.7,0.1,55.8,58.5,112.95,46.8
